"id","name","type","resource_version","release_tag","asset","url","md5","size","license","source_url","description","citation"
"annotation-aparc","aparc","annotation","dev","prerelease","annotation-aparc.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-aparc.tar.gz","18cfb93cd0512c2a3ec2de367e4dc9bc",736945,"unknown",NA,"aparc annotation pair for fsaverage","Desikan RS, Segonne F, Fischl B, et al. (2006). An automated labeling system for subdividing the human cerebral cortex on MRI scans into gyral based regions of interest. NeuroImage 31:968-980. doi:10.1016/j.neuroimage.2006.01.021."
"annotation-aparc-a2005s","aparc.a2005s","annotation","dev","prerelease","annotation-aparc-a2005s.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-aparc-a2005s.tar.gz","259e6b257a9bc199923a02fdab0b2908",688312,"unknown",NA,"aparc.a2005s annotation pair for fsaverage","Fischl B, van der Kouwe A, Destrieux C, et al. (2004). Automatically parcellating the human cerebral cortex. Cerebral Cortex 14:11-22. doi:10.1093/cercor/bhg087."
"annotation-aparc-a2009s","aparc.a2009s","annotation","dev","prerelease","annotation-aparc-a2009s.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-aparc-a2009s.tar.gz","9d784dec540889c3fa8eada936d90de7",675367,"unknown",NA,"aparc.a2009s annotation pair for fsaverage","Destrieux C, Fischl B, Dale A, Halgren E (2010). Automatic parcellation of human cortical gyri and sulci using standard anatomical nomenclature. NeuroImage 53:1-15. doi:10.1016/j.neuroimage.2010.06.010."
"annotation-hcp-mmp1","HCP-MMP1","annotation","dev","prerelease","annotation-hcp-mmp1.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-hcp-mmp1.tar.gz","c6e3eeeca30dc6835b5ea557f64fee77",666722,"unknown",NA,"HCP-MMP1 annotation pair for fsaverage","Glasser MF, Coalson TS, Robinson EC, et al. (2016). A multi-modal parcellation of human cerebral cortex. Nature 536:171-178. doi:10.1038/nature18933."
"annotation-ho-fsspace","HO_FSSpace","annotation","dev","prerelease","annotation-ho-fsspace.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-ho-fsspace.tar.gz","6aa5e1957b364da16ae66a194b16c324",701613,"unknown",NA,"HO_FSSpace annotation pair for fsaverage","Harvard-Oxford Cortical Structural Atlas, Harvard Center for Morphometric Analysis and FMRIB Software Library. RRID:SCR_001476."
"annotation-pals-b12-brodmann","PALS_B12_Brodmann","annotation","dev","prerelease","annotation-pals-b12-brodmann.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-pals-b12-brodmann.tar.gz","489ced64e55d0363035e17d754f0cd4d",733900,"unknown",NA,"PALS_B12_Brodmann annotation pair for fsaverage","Van Essen DC (2005). A Population-Average, Landmark- and Surface-based (PALS) atlas of human cerebral cortex. NeuroImage 28:635-662. doi:10.1016/j.neuroimage.2005.06.058."
"annotation-pals-b12-lobes","PALS_B12_Lobes","annotation","dev","prerelease","annotation-pals-b12-lobes.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-pals-b12-lobes.tar.gz","04a3f7efa2c2695c22fa686034b961af",869082,"unknown",NA,"PALS_B12_Lobes annotation pair for fsaverage","Van Essen DC (2005). A Population-Average, Landmark- and Surface-based (PALS) atlas of human cerebral cortex. NeuroImage 28:635-662. doi:10.1016/j.neuroimage.2005.06.058."
"annotation-schaefer2018-1000parcels-17networks-order","Schaefer2018_1000Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-1000parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-1000parcels-17networks-order.tar.gz","3b8667fffe43cc12684c879c8ed1e7dd",688350,"unknown",NA,"Schaefer2018_1000Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-1000parcels-7networks-order","Schaefer2018_1000Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-1000parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-1000parcels-7networks-order.tar.gz","db34d5c256cef8abcc3c6bb93b215ba7",688122,"unknown",NA,"Schaefer2018_1000Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-1000parcels-kong2022-17networks-order","Schaefer2018_1000Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-1000parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-1000parcels-kong2022-17networks-order.tar.gz","c7943c2e1f313d5a017e6fece11c4821",694640,"unknown",NA,"Schaefer2018_1000Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-100parcels-17networks-order","Schaefer2018_100Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-100parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-100parcels-17networks-order.tar.gz","dfbc2cdb4f4f761981817ebde5ba1fbd",669312,"unknown",NA,"Schaefer2018_100Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-100parcels-7networks-order","Schaefer2018_100Parcels_7Networks_order","annotation","dev","prerelease","annotation-schaefer2018-100parcels-7networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-100parcels-7networks-order.tar.gz","03f494428bece4521f927dac385bc015",669378,"unknown",NA,"Schaefer2018_100Parcels_7Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
"annotation-schaefer2018-100parcels-kong2022-17networks-order","Schaefer2018_100Parcels_Kong2022_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-100parcels-kong2022-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-100parcels-kong2022-17networks-order.tar.gz","252f51c0b8fae7bc83ed256f66291cfe",672626,"unknown",NA,"Schaefer2018_100Parcels_Kong2022_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179; Kong R, et al. (2021). Individual-specific areal-level parcellations improve functional connectivity prediction of behavior. Cerebral Cortex 31:4477-4500. doi:10.1093/cercor/bhab101."
"annotation-schaefer2018-200parcels-17networks-order","Schaefer2018_200Parcels_17Networks_order","annotation","dev","prerelease","annotation-schaefer2018-200parcels-17networks-order.tar.gz","https://github.com/jorittmo/ggbrat-resources/releases/download/prerelease/annotation-schaefer2018-200parcels-17networks-order.tar.gz","32883706d966149ff39d27eee4558198",639059,"unknown",NA,"Schaefer2018_200Parcels_17Networks_order annotation pair for fsaverage","Schaefer A, Kong R, Gordon EM, et al. (2018). Local-global parcellation of the human cerebral cortex from intrinsic functional connectivity MRI. Cerebral Cortex 28:3095-3114. doi:10.1093/cercor/bhx179."
